date,open,high,low,close,C-O,volume,SMA7,profit or not
"2,1,2019",37.434,38.391,37.2745,38.1663,0.7323,148158948,37.38357143,0
"3,1,2019",34.7972,35.2178,34.3187,34.3646,-0.4326,365248780,37.08871429,1
"4,1,2019",34.9302,35.9017,34.7537,35.8316,0.9014,234428280,37.13808571,0
"7,1,2019",35.938,35.9694,35.2613,35.7519,-0.1861,219111056,36.81907143,1
"8,1,2019",36.1458,36.692,35.8945,36.4334,0.2876,164101256,36.63262857,0
"9,1,2019",36.5639,37.347,36.1627,37.0521,0.4882,180396324,36.53181429,0
"10,1,2019",36.8564,37.2116,36.46,37.1705,0.3141,143122680,36.39577143,0
"11,1,2019",36.9482,37.1464,36.6171,36.8056,-0.1426,108092964,36.20138571,1
"14,01,2019",36.4576,36.5591,36.0636,36.2521,-0.2055,129756744,36.47102857,1
"15,01,2019",36.3174,37.0714,36.2642,36.9941,0.6767,114841296,36.6371,0
"16,01,2019",36.9965,37.6732,36.9772,37.4461,0.4496,122278824,36.87912857,0
"17,01,2019",37.2672,38.1034,37.04,37.6684,0.4012,119284640,37.05555714,0
"18,01,2019",38.0648,38.1566,37.6975,37.9004,-0.1644,135004092,37.17674286,1
"22,01,2019",37.8013,37.8787,36.8854,37.0497,-0.7516,121575880,37.15948571,1
"23,01,2019",37.2551,37.4944,36.663,37.1995,-0.0556,92522280,37.21575714,1
"24,01,2019",37.2455,37.3349,36.6727,36.9047,-0.3408,101766196,37.30898571,1
"25,01,2019",37.5766,38.217,37.2962,38.1276,0.551,134191572,37.47091429,0
"28,01,2019",37.6515,37.782,37.1367,37.7747,0.1232,104768232,37.51785714,0
"29,01,2019",37.7627,38.217,37.2455,37.3832,-0.3795,166348956,37.47711429,1
"30,01,2019",39.4544,40.1553,38.7245,39.9378,0.4834,244439120,37.76817143,0
"31,01,2019",40.1456,40.8441,39.771,40.2254,0.0798,162958596,38.22184286,0
"1,2,2019",40.3511,40.8393,40.1021,40.2447,-0.1064,130672552,38.65687143,1
"4,2,2019",40.4598,41.4858,40.4284,41.3879,0.9281,125982328,39.29732857,0
"5,2,2019",41.777,42.3135,41.6537,42.096,0.319,144406512,39.86424286,0
"6,2,2019",42.2096,42.4319,41.7753,42.1105,-0.0991,112958364,40.48364286,1
"7,2,2019",41.6658,42.038,41.1679,41.3129,-0.3529,126966760,41.04502857,1
"8,2,2019",41.0166,41.422,40.8783,41.3613,0.3447,95279864,41.24838571,0
"11,2,2019",41.5166,41.5555,41.0797,41.1234,-0.3932,83973700,41.37667143,1
"12,2,2019",41.286,41.5045,41.189,41.4778,0.1918,89134092,41.55282857,0
"13,02,2019",41.5991,41.8637,41.2424,41.3055,-0.2936,89960932,41.54105714,1
"14,02,2019",41.1914,41.568,41.1113,41.4559,0.2645,87342988,41.44961429,0
"15,02,2019",41.5652,41.6744,41.2011,41.3637,-0.2015,98507256,41.34292857,1
"19,02,2019",41.1914,41.6113,41.138,41.4875,0.2961,75891304,41.36787143,0
"20,02,2019",41.5506,42.0676,41.5021,41.7545,0.2039,104457448,41.42404286,0
"21,02,2019",41.6987,41.837,41.3346,41.519,-0.1797,68998680,41.48055714,1
"22,02,2019",41.6453,41.9899,41.5967,41.9826,0.3373,75652616,41.55267143,0
"25,02,2019",42.2715,42.6865,42.2205,42.2885,0.017,87493432,41.6931,0
"26,02,2019",42.1622,42.5482,42.032,42.3127,0.1505,68280844,41.8155,0
"27,02,2019",42.0409,42.4754,41.9244,42.4438,0.4029,111341556,41.9698,0
"28,02,2019",42.3103,42.4535,41.9705,42.0263,-0.284,112861664,42.04677143,1
"1,3,2019",42.3006,42.5118,41.9632,42.4681,0.1675,103544668,42.14871429,0
"4,3,2019",42.6428,43.1428,42.2254,42.6817,0.0389,109744812,42.31481429,0
"5,3,2019",42.7035,42.7181,42.3637,42.604,-0.0995,78949676,42.40358571,1
"6,3,2019",42.3953,42.5943,42.2181,42.3588,-0.0365,83241536,42.41362857,1
"7,3,2019",42.2011,42.3394,41.7521,41.8686,-0.3325,99185496,42.35018571,1
"8,3,2019",41.3394,42.0069,41.1404,41.9681,0.6287,95997432,42.28222857,0
"11,3,2019",42.5943,43.4753,42.5603,43.4219,0.8276,128044136,42.4816,0
"12,3,2019",43.6889,44.337,43.536,43.9098,0.2209,129870336,42.68755714,0
