date,open,high,low,close,high-low,close-open,volume,profit or not
"12,12,1980",0.1003,0.1007,0.1003,0.1003,0.0004,0,469033600,0
"15,12,1980",0.0955,0.0955,0.0951,0.0951,0.0004,-0.0004,175884800,1
"16,12,1980",0.0885,0.0885,0.0881,0.0881,0.0004,-0.0004,105728000,1
"17,12,1980",0.0902,0.0907,0.0902,0.0902,0.0005,0,86441600,0
"18,12,1980",0.0929,0.0933,0.0929,0.0929,0.0004,0,73449600,0
"19,12,1980",0.0985,0.099,0.0985,0.0985,0.0005,0,48630400,0
"22,12,1980",0.1034,0.1038,0.1034,0.1034,0.0004,0,37363200,0
"23,12,1980",0.1077,0.1081,0.1077,0.1077,0.0004,0,46950400,0
"24,12,1980",0.1134,0.1138,0.1134,0.1134,0.0004,0,48003200,0
"26,12,1980",0.1238,0.1243,0.1238,0.1238,0.0005,0,55574400,0
"29,12,1980",0.1256,0.126,0.1256,0.1256,0.0004,0,93161600,0
"30,12,1980",0.123,0.123,0.1225,0.1225,0.0005,-0.0005,68880000,1
"31,12,1980",0.1195,0.1195,0.1191,0.1191,0.0004,-0.0004,35750400,1
"2,1,1981",0.1203,0.1212,0.1203,0.1203,0.0009,0,21660800,0
"5,1,1981",0.1181,0.1181,0.1177,0.1177,0.0004,-0.0004,35728000,1
"6,1,1981",0.1129,0.1129,0.1125,0.1125,0.0004,-0.0004,45158400,1
"7,1,1981",0.1081,0.1081,0.1077,0.1077,0.0004,-0.0004,55686400,1
"8,1,1981",0.1059,0.1059,0.1055,0.1055,0.0004,-0.0004,39827200,1
"9,1,1981",0.1112,0.1116,0.1112,0.1112,0.0004,0,21504000,0
"12,1,1981",0.1112,0.1112,0.1103,0.1103,0.0009,-0.0009,23699200,1
"13,01,1981",0.1068,0.1068,0.1064,0.1064,0.0004,-0.0004,23049600,1
"14,01,1981",0.1068,0.1073,0.1068,0.1068,0.0005,0,14291200,0
"15,01,1981",0.109,0.1099,0.109,0.109,0.0009,0,14067200,0
"16,01,1981",0.1086,0.1086,0.1081,0.1081,0.0005,-0.0005,13395200,1
