date,open,high,low,close,high-low,close-open,volume,profit or not,SMA7,SMA14
"2,1,1981",0.1203,0.1212,0.1203,0.1203,0.0009,0,21660800,0,0.118914286,0.107207143
"5,1,1981",0.1181,0.1181,0.1177,0.1177,0.0004,-0.0004,35728000,1,0.120342857,0.10845
"6,1,1981",0.1129,0.1129,0.1125,0.1125,0.0004,-0.0004,45158400,1,0.120214286,0.109692857
"7,1,1981",0.1081,0.1081,0.1077,0.1077,0.0004,-0.0004,55686400,1,0.117914286,0.111092857
"8,1,1981",0.1059,0.1059,0.1055,0.1055,0.0004,-0.0004,39827200,1,0.115042857,0.112185714
"9,1,1981",0.1112,0.1116,0.1112,0.1112,0.0004,0,21504000,0,0.113428571,0.113492857
"12,1,1981",0.1112,0.1112,0.1103,0.1103,0.0009,-0.0009,23699200,1,0.112171429,0.114335714
"13,01,1981",0.1068,0.1068,0.1064,0.1064,0.0004,-0.0004,23049600,1,0.110185714,0.11455
"14,01,1981",0.1068,0.1073,0.1068,0.1068,0.0005,0,14291200,0,0.108628571,0.114485714
"15,01,1981",0.109,0.1099,0.109,0.109,0.0009,0,14067200,0,0.108128571,0.114171429
"16,01,1981",0.1086,0.1086,0.1081,0.1081,0.0005,-0.0005,13395200,1,0.108185714,0.11305
"19,01,1981",0.1147,0.1151,0.1147,0.1147,0.0004,0,41574400,0,0.1095,0.112271429
"20,01,1981",0.1116,0.1116,0.1112,0.1112,0.0004,-0.0004,30083200,1,0.1095,0.111464286
"21,01,1981",0.1134,0.1142,0.1134,0.1134,0.0008,0,15904000,0,0.109942857,0.111057143
"22,01,1981",0.1147,0.1156,0.1147,0.1147,0.0009,0,35548800,0,0.111128571,0.110657143
"23,01,1981",0.1147,0.1151,0.1142,0.1142,0.0009,-0.0005,11222400,1,0.112185714,0.110407143
"26,01,1981",0.1129,0.1129,0.1125,0.1125,0.0004,-0.0004,24640000,1,0.112685714,0.110407143
"27,01,1981",0.1125,0.1125,0.1116,0.1116,0.0009,-0.0009,23699200,1,0.113185714,0.110685714
"28,01,1981",0.1086,0.1086,0.1081,0.1081,0.0005,-0.0005,28156800,1,0.112242857,0.110871429
"29,01,1981",0.1046,0.1046,0.1042,0.1042,0.0004,-0.0004,43904000,1,0.111242857,0.110371429
"30,01,1981",0.0994,0.0994,0.0985,0.0985,0.0009,-0.0009,46188800,1,0.109114286,0.109528571
"2,2,1981",0.0933,0.0933,0.0929,0.0929,0.0004,-0.0004,23766400,1,0.106,0.108564286
"3,2,1981",0.0963,0.0968,0.0963,0.0963,0.0005,0,19152000,0,0.103442857,0.107814286
"4,2,1981",0.0998,0.1003,0.0998,0.0998,0.0005,0,27865600,0,0.101628571,0.107157143
"5,2,1981",0.0998,0.1007,0.0998,0.0998,0.0009,0,7929600,0,0.099942857,0.106564286
"6,2,1981",0.1003,0.1007,0.1003,0.1003,0.0004,0,13865600,0,0.098828571,0.105535714
"9,2,1981",0.0959,0.0959,0.0951,0.0951,0.0008,-0.0008,16755200,1,0.097528571,0.104385714
"10,2,1981",0.0951,0.0955,0.0951,0.0951,0.0004,0,18345600,0,0.097042857,0.103078571
"11,2,1981",0.0924,0.0924,0.092,0.092,0.0004,-0.0004,13843200,1,0.096914286,0.101457143
"12,2,1981",0.0916,0.0916,0.0911,0.0911,0.0005,-0.0005,14560000,1,0.096171429,0.099807143
"13,02,1981",0.0898,0.0898,0.089,0.089,0.0008,-0.0008,11155200,1,0.094628571,0.098128571
"17,02,1981",0.0911,0.0916,0.0911,0.0911,0.0005,0,12275200,0,0.093385714,0.096664286
"18,02,1981",0.0951,0.0959,0.0951,0.0951,0.0008,0,19241600,0,0.092642857,0.095735714
"19,02,1981",0.0898,0.0898,0.0894,0.0894,0.0004,-0.0004,22310400,1,0.091828571,0.094678571
"20,02,1981",0.085,0.085,0.0846,0.0846,0.0004,-0.0004,24371200,1,0.090328571,0.093685714
"23,02,1981",0.0859,0.0863,0.0859,0.0859,0.0004,0,14112000,0,0.089457143,0.093185714
"24,02,1981",0.0837,0.0837,0.0828,0.0828,0.0009,-0.0009,16979200,1,0.088271429,0.092221429
"25,02,1981",0.0881,0.0885,0.0881,0.0881,0.0004,0,19488000,0,0.088142857,0.091385714
"26,02,1981",0.0894,0.0898,0.0894,0.0894,0.0004,0,10841600,0,0.0879,0.090642857
"27,02,1981",0.0924,0.0933,0.0924,0.0924,0.0009,0,14761600,0,0.087514286,0.090078571
"2,3,1981",0.0929,0.0933,0.0929,0.0929,0.0004,0,11760000,0,0.088014286,0.089921429
"3,3,1981",0.092,0.092,0.0916,0.0916,0.0004,-0.0004,16172800,1,0.089014286,0.089671429
"4,3,1981",0.0911,0.0911,0.0907,0.0907,0.0004,-0.0004,13708800,1,0.0897,0.089578571
"5,3,1981",0.0907,0.0907,0.0902,0.0902,0.0005,-0.0005,5376000,1,0.090757143,0.089514286
"6,3,1981",0.0902,0.0902,0.0894,0.0894,0.0008,-0.0008,11603200,1,0.090942857,0.089542857
"9,3,1981",0.0828,0.0828,0.0824,0.0824,0.0004,-0.0004,15321600,1,0.089942857,0.088921429
"10,3,1981",0.0789,0.0789,0.0785,0.0785,0.0004,-0.0004,28380800,1,0.087957143,0.087735714
"11,3,1981",0.0763,0.0763,0.0754,0.0754,0.0009,-0.0009,29859200,1,0.085457143,0.086735714
"12,3,1981",0.0785,0.0789,0.0785,0.0785,0.0004,0,59248000,0,0.083585714,0.0863
"13,03,1981",0.078,0.078,0.0776,0.0776,0.0004,-0.0004,231302400,1,0.081714286,0.085707143
"16,03,1981",0.0807,0.0815,0.0807,0.0807,0.0008,0,37228800,0,0.080357143,0.085557143
