date,open,high,low,close,close-open,volume,SMA7,profit or not
"2,1,1981",0.1203,0.1212,0.1203,0.1203,0,21660800,0.118914286,0
"5,1,1981",0.1181,0.1181,0.1177,0.1177,-0.0004,35728000,0.120342857,1
"6,1,1981",0.1129,0.1129,0.1125,0.1125,-0.0004,45158400,0.120214286,1
"7,1,1981",0.1081,0.1081,0.1077,0.1077,-0.0004,55686400,0.117914286,1
"8,1,1981",0.1059,0.1059,0.1055,0.1055,-0.0004,39827200,0.115042857,1
"9,1,1981",0.1112,0.1116,0.1112,0.1112,0,21504000,0.113428571,0
"12,1,1981",0.1112,0.1112,0.1103,0.1103,-0.0009,23699200,0.112171429,1
"13,01,1981",0.1068,0.1068,0.1064,0.1064,-0.0004,23049600,0.110185714,1
"14,01,1981",0.1068,0.1073,0.1068,0.1068,0,14291200,0.108628571,0
"15,01,1981",0.109,0.1099,0.109,0.109,0,14067200,0.108128571,0
"16,01,1981",0.1086,0.1086,0.1081,0.1081,-0.0005,13395200,0.108185714,1
"19,01,1981",0.1147,0.1151,0.1147,0.1147,0,41574400,0.1095,0
"20,01,1981",0.1116,0.1116,0.1112,0.1112,-0.0004,30083200,0.1095,1
"21,01,1981",0.1134,0.1142,0.1134,0.1134,0,15904000,0.109942857,0
"22,01,1981",0.1147,0.1156,0.1147,0.1147,0,35548800,0.111128571,0
"23,01,1981",0.1147,0.1151,0.1142,0.1142,-0.0005,11222400,0.112185714,1
"26,01,1981",0.1129,0.1129,0.1125,0.1125,-0.0004,24640000,0.112685714,1
"27,01,1981",0.1125,0.1125,0.1116,0.1116,-0.0009,23699200,0.113185714,1
"28,01,1981",0.1086,0.1086,0.1081,0.1081,-0.0005,28156800,0.112242857,1
"29,01,1981",0.1046,0.1046,0.1042,0.1042,-0.0004,43904000,0.111242857,1
"30,01,1981",0.0994,0.0994,0.0985,0.0985,-0.0009,46188800,0.109114286,1
"2,2,1981",0.0933,0.0933,0.0929,0.0929,-0.0004,23766400,0.106,1
"3,2,1981",0.0963,0.0968,0.0963,0.0963,0,19152000,0.103442857,0
"4,2,1981",0.0998,0.1003,0.0998,0.0998,0,27865600,0.101628571,0
"5,2,1981",0.0998,0.1007,0.0998,0.0998,0,7929600,0.099942857,0
"6,2,1981",0.1003,0.1007,0.1003,0.1003,0,13865600,0.098828571,0
"9,2,1981",0.0959,0.0959,0.0951,0.0951,-0.0008,16755200,0.097528571,1
"10,2,1981",0.0951,0.0955,0.0951,0.0951,0,18345600,0.097042857,0
"11,2,1981",0.0924,0.0924,0.092,0.092,-0.0004,13843200,0.096914286,1
"12,2,1981",0.0916,0.0916,0.0911,0.0911,-0.0005,14560000,0.096171429,1
"13,02,1981",0.0898,0.0898,0.089,0.089,-0.0008,11155200,0.094628571,1
"17,02,1981",0.0911,0.0916,0.0911,0.0911,0,12275200,0.093385714,0
"18,02,1981",0.0951,0.0959,0.0951,0.0951,0,19241600,0.092642857,0
"19,02,1981",0.0898,0.0898,0.0894,0.0894,-0.0004,22310400,0.091828571,1
"20,02,1981",0.085,0.085,0.0846,0.0846,-0.0004,24371200,0.090328571,1
"23,02,1981",0.0859,0.0863,0.0859,0.0859,0,14112000,0.089457143,0
"24,02,1981",0.0837,0.0837,0.0828,0.0828,-0.0009,16979200,0.088271429,1
"25,02,1981",0.0881,0.0885,0.0881,0.0881,0,19488000,0.088142857,0
"26,02,1981",0.0894,0.0898,0.0894,0.0894,0,10841600,0.0879,0
"27,02,1981",0.0924,0.0933,0.0924,0.0924,0,14761600,0.087514286,0
"2,3,1981",0.0929,0.0933,0.0929,0.0929,0,11760000,0.088014286,0
"3,3,1981",0.092,0.092,0.0916,0.0916,-0.0004,16172800,0.089014286,1
"4,3,1981",0.0911,0.0911,0.0907,0.0907,-0.0004,13708800,0.0897,1
"5,3,1981",0.0907,0.0907,0.0902,0.0902,-0.0005,5376000,0.090757143,1
"6,3,1981",0.0902,0.0902,0.0894,0.0894,-0.0008,11603200,0.090942857,1
"9,3,1981",0.0828,0.0828,0.0824,0.0824,-0.0004,15321600,0.089942857,1
"10,3,1981",0.0789,0.0789,0.0785,0.0785,-0.0004,28380800,0.087957143,1
"11,3,1981",0.0763,0.0763,0.0754,0.0754,-0.0009,29859200,0.085457143,1
"12,3,1981",0.0785,0.0789,0.0785,0.0785,0,59248000,0.083585714,0
"13,03,1981",0.078,0.078,0.0776,0.0776,-0.0004,231302400,0.081714286,1
"16,03,1981",0.0807,0.0815,0.0807,0.0807,0,37228800,0.080357143,0
"17,03,1981",0.0846,0.0855,0.0846,0.0846,0,43747200,0.079671429,0
"18,03,1981",0.0898,0.0907,0.0898,0.0898,0,36937600,0.080728571,0
"19,03,1981",0.0894,0.0894,0.089,0.089,-0.0004,37811200,0.082228571,1
"20,03,1981",0.0898,0.0907,0.0898,0.0898,0,14604800,0.084285714,0
"23,03,1981",0.0933,0.0942,0.0933,0.0933,0,22019200,0.0864,0
"24,03,1981",0.0933,0.0933,0.0929,0.0929,-0.0004,28156800,0.088585714,1
"25,03,1981",0.092,0.092,0.0911,0.0911,-0.0009,7056000,0.090071429,1
"26,03,1981",0.0898,0.0898,0.0894,0.0894,-0.0004,12275200,0.090757143,1
"27,03,1981",0.0868,0.0868,0.0863,0.0863,-0.0005,12252800,0.090257143,1
"30,03,1981",0.0863,0.0872,0.0863,0.0863,0,9900800,0.089871429,0
"31,03,1981",0.0863,0.0863,0.0855,0.0855,-0.0008,15993600,0.089257143,1
"1,4,1981",0.085,0.085,0.0846,0.0846,-0.0004,34070400,0.088014286,1
"2,4,1981",0.092,0.0924,0.092,0.092,0,31404800,0.087885714,0
"3,4,1981",0.0924,0.0929,0.0924,0.0924,0,16486400,0.088071429,0
"6,4,1981",0.0911,0.0911,0.0907,0.0907,-0.0004,22803200,0.088257143,1
"7,4,1981",0.0902,0.0902,0.0898,0.0898,-0.0004,10684800,0.088757143,1
"8,4,1981",0.0942,0.0951,0.0942,0.0942,0,21952000,0.089885714,0
"9,4,1981",0.0959,0.0963,0.0959,0.0959,0,12499200,0.091371429,0
"10,4,1981",0.0973,0.0977,0.0973,0.0973,0,33465600,0.093185714,0
"13,04,1981",0.0973,0.0977,0.0973,0.0973,0,16060800,0.093942857,0
"14,04,1981",0.0973,0.0977,0.0973,0.0973,0,6652800,0.094642857,0
"15,04,1981",0.0929,0.0929,0.0924,0.0924,-0.0005,34048000,0.094885714,1
"16,04,1981",0.0876,0.0876,0.0872,0.0872,-0.0004,23878400,0.094514286,1
"20,04,1981",0.0898,0.0902,0.0898,0.0898,0,35347200,0.093885714,0
"21,04,1981",0.0959,0.0963,0.0959,0.0959,0,28537600,0.093885714,0
"22,04,1981",0.0994,0.0998,0.0994,0.0994,0,18995200,0.094185714,0
"23,04,1981",0.102,0.1025,0.102,0.102,0,58016000,0.094857143,0
"24,04,1981",0.102,0.102,0.1012,0.1012,-0.0008,35056000,0.095414286,1
"27,04,1981",0.1007,0.1007,0.1003,0.1003,-0.0004,38528000,0.096542857,1
"28,04,1981",0.099,0.099,0.0985,0.0985,-0.0005,32188800,0.098157143,1
"29,04,1981",0.0977,0.0977,0.0973,0.0973,-0.0004,13641600,0.099228571,1
"30,04,1981",0.099,0.0998,0.099,0.099,0,12611200,0.099671429,0
"1,5,1981",0.099,0.0998,0.099,0.099,0,16553600,0.099614286,0
"4,5,1981",0.099,0.099,0.0985,0.0985,-0.0005,14448000,0.099114286,1
"5,5,1981",0.0985,0.0985,0.0981,0.0981,-0.0004,17539200,0.098671429,1
"6,5,1981",0.0959,0.0959,0.0955,0.0955,-0.0004,18950400,0.097985714,1
"7,5,1981",0.0968,0.0973,0.0968,0.0968,0,9363200,0.097742857,0
"8,5,1981",0.0977,0.0981,0.0977,0.0977,0,7907200,0.0978,0
"11,5,1981",0.0959,0.0959,0.0955,0.0955,-0.0004,11939200,0.0973,1
"12,5,1981",0.0955,0.0968,0.0955,0.0955,0,4256000,0.0968,0
"13,05,1981",0.0955,0.0963,0.0951,0.0951,-0.0004,4905600,0.096314286,1
"14,05,1981",0.0946,0.0946,0.0937,0.0937,-0.0009,4928000,0.095685714,1
"15,05,1981",0.0959,0.0973,0.0959,0.0959,0,4905600,0.095742857,0
"18,05,1981",0.0977,0.0985,0.0977,0.0977,0,4166400,0.095871429,0
"19,05,1981",0.0963,0.0963,0.0959,0.0959,-0.0004,25424000,0.095614286,1
"20,05,1981",0.099,0.0998,0.099,0.099,0,13283200,0.096114286,0
"21,05,1981",0.1046,0.1051,0.1046,0.1046,0,32211200,0.097414286,0
"22,05,1981",0.1095,0.1103,0.1095,0.1095,0,31427200,0.099471429,0
"26,05,1981",0.1095,0.1095,0.109,0.109,-0.0005,85344000,0.101657143,1
"27,05,1981",0.1151,0.1156,0.1151,0.1151,0,149497600,0.1044,0
"28,05,1981",0.1151,0.1156,0.1151,0.1151,0,73987200,0.106885714,0
"29,05,1981",0.1156,0.116,0.1156,0.1156,0,59382400,0.1097,0
"1,6,1981",0.1156,0.116,0.1156,0.1156,0,51251200,0.112071429,0
"2,6,1981",0.1103,0.1103,0.1099,0.1099,-0.0004,40432000,0.112828571,1
"3,6,1981",0.1099,0.1108,0.1099,0.1099,0,39446400,0.112885714,0
"4,6,1981",0.112,0.1125,0.112,0.112,0,56067200,0.113314286,0
"5,6,1981",0.1108,0.1108,0.1103,0.1103,-0.0005,57680000,0.112628571,1
"8,6,1981",0.1068,0.1068,0.1064,0.1064,-0.0004,93497600,0.111385714,1
"9,6,1981",0.1086,0.109,0.1086,0.1086,0,119593600,0.110385714,0
"10,6,1981",0.1099,0.1112,0.1099,0.1099,0,25222400,0.109571429,0
"11,6,1981",0.1147,0.1151,0.1147,0.1147,0,38976000,0.110257143,0
"12,6,1981",0.1138,0.1138,0.1134,0.1134,-0.0004,25804800,0.110757143,1
"15,06,1981",0.1134,0.1134,0.1129,0.1129,-0.0005,143763200,0.110885714,1
"16,06,1981",0.1112,0.1112,0.1108,0.1108,-0.0004,37251200,0.110957143,1
"17,06,1981",0.1095,0.1095,0.109,0.109,-0.0005,27574400,0.111328571,1
"18,06,1981",0.109,0.1095,0.1086,0.1086,-0.0004,23049600,0.111328571,1
"19,06,1981",0.1059,0.1059,0.1055,0.1055,-0.0004,27507200,0.1107,1
"22,06,1981",0.102,0.102,0.1016,0.1016,-0.0004,10841600,0.108828571,1
