date,open,high,low,close,high-low,close-open,volume,profit or not,SMA7,std7
"22,12,1980",0.1034,0.1038,0.1034,0.1034,0.0004,0,37363200,0,0.0955,0
"23,12,1980",0.1077,0.1081,0.1077,0.1077,0.0004,0,46950400,0,0.096557143,0.00215
"24,12,1980",0.1134,0.1138,0.1134,0.1134,0.0004,0,48003200,0,0.099171429,0.004095797
"26,12,1980",0.1238,0.1243,0.1238,0.1238,0.0005,0,55574400,0,0.104271429,0.007642439
"29,12,1980",0.1256,0.126,0.1256,0.1256,0.0004,0,93161600,0,0.109328571,0.008717431
"30,12,1980",0.123,0.123,0.1225,0.1225,0.0005,-0.0005,68880000,1,0.113557143,0.008462007
"31,12,1980",0.1195,0.1195,0.1191,0.1191,0.0004,-0.0004,35750400,1,0.1165,0.007905875
"2,1,1981",0.1203,0.1212,0.1203,0.1203,0.0009,0,21660800,0,0.118914286,0.005849891
"5,1,1981",0.1181,0.1181,0.1177,0.1177,0.0004,-0.0004,35728000,1,0.120342857,0.003798066
"6,1,1981",0.1129,0.1129,0.1125,0.1125,0.0004,-0.0004,45158400,1,0.120214286,0.004038539
"7,1,1981",0.1081,0.1081,0.1077,0.1077,0.0004,-0.0004,55686400,1,0.117914286,0.005617429
"8,1,1981",0.1059,0.1059,0.1055,0.1055,0.0004,-0.0004,39827200,1,0.115042857,0.006073563
"9,1,1981",0.1112,0.1116,0.1112,0.1112,0.0004,0,21504000,0,0.113428571,0.005333644
"12,1,1981",0.1112,0.1112,0.1103,0.1103,0.0009,-0.0009,23699200,1,0.112171429,0.004865245
"13,01,1981",0.1068,0.1068,0.1064,0.1064,0.0004,-0.0004,23049600,1,0.110185714,0.003879038
"14,01,1981",0.1068,0.1073,0.1068,0.1068,0.0005,0,14291200,0,0.108628571,0.002488668
"15,01,1981",0.109,0.1099,0.109,0.109,0.0009,0,14067200,0,0.108128571,0.001955004
"16,01,1981",0.1086,0.1086,0.1081,0.1081,0.0005,-0.0005,13395200,1,0.108185714,0.001947474
"19,01,1981",0.1147,0.1151,0.1147,0.1147,0.0004,0,41574400,0,0.1095,0.002664046
"20,01,1981",0.1116,0.1116,0.1112,0.1112,0.0004,-0.0004,30083200,1,0.1095,0.002664046
"21,01,1981",0.1134,0.1142,0.1134,0.1134,0.0008,0,15904000,0,0.109942857,0.002997073
"22,01,1981",0.1147,0.1156,0.1147,0.1147,0.0009,0,35548800,0,0.111128571,0.00300272
"23,01,1981",0.1147,0.1151,0.1142,0.1142,0.0009,-0.0005,11222400,1,0.112185714,0.002563161
"26,01,1981",0.1129,0.1129,0.1125,0.1125,0.0004,-0.0004,24640000,1,0.112685714,0.002209996
"27,01,1981",0.1125,0.1125,0.1116,0.1116,0.0009,-0.0009,23699200,1,0.113185714,0.001341032
"28,01,1981",0.1086,0.1086,0.1081,0.1081,0.0005,-0.0005,28156800,1,0.112242857,0.002068027
"29,01,1981",0.1046,0.1046,0.1042,0.1042,0.0004,-0.0004,43904000,1,0.111242857,0.003516027
"30,01,1981",0.0994,0.0994,0.0985,0.0985,0.0009,-0.0009,46188800,1,0.109114286,0.005510361
"2,2,1981",0.0933,0.0933,0.0929,0.0929,0.0004,-0.0004,23766400,1,0.106,0.007332511
"3,2,1981",0.0963,0.0968,0.0963,0.0963,0.0005,0,19152000,0,0.103442857,0.007145799
"4,2,1981",0.0998,0.1003,0.0998,0.0998,0.0005,0,27865600,0,0.101628571,0.006160175
"5,2,1981",0.0998,0.1007,0.0998,0.0998,0.0009,0,7929600,0,0.099942857,0.004623807
"6,2,1981",0.1003,0.1007,0.1003,0.1003,0.0004,0,13865600,0,0.098828571,0.003263528
"9,2,1981",0.0959,0.0959,0.0951,0.0951,0.0008,-0.0008,16755200,1,0.097528571,0.002612451
"10,2,1981",0.0951,0.0955,0.0951,0.0951,0.0004,0,18345600,0,0.097042857,0.002701247
"11,2,1981",0.0924,0.0924,0.092,0.092,0.0004,-0.0004,13843200,1,0.096914286,0.002908818
"12,2,1981",0.0916,0.0916,0.0911,0.0911,0.0005,-0.0005,14560000,1,0.096171429,0.003561586
"13,02,1981",0.0898,0.0898,0.089,0.089,0.0008,-0.0008,11155200,1,0.094628571,0.003971223
"17,02,1981",0.0911,0.0916,0.0911,0.0911,0.0005,0,12275200,0,0.093385714,0.00349057
"18,02,1981",0.0951,0.0959,0.0951,0.0951,0.0008,0,19241600,0,0.092642857,0.002285268
"19,02,1981",0.0898,0.0898,0.0894,0.0894,0.0004,-0.0004,22310400,1,0.091828571,0.002280172
"20,02,1981",0.085,0.085,0.0846,0.0846,0.0004,-0.0004,24371200,1,0.090328571,0.002980755
"23,02,1981",0.0859,0.0863,0.0859,0.0859,0.0004,0,14112000,0,0.089457143,0.003244713
"24,02,1981",0.0837,0.0837,0.0828,0.0828,0.0009,-0.0009,16979200,1,0.088271429,0.003881721
"25,02,1981",0.0881,0.0885,0.0881,0.0881,0.0004,0,19488000,0,0.088142857,0.003870348
"26,02,1981",0.0894,0.0898,0.0894,0.0894,0.0004,0,10841600,0,0.0879,0.003727887
"27,02,1981",0.0924,0.0933,0.0924,0.0924,0.0009,0,14761600,0,0.087514286,0.003038998
"2,3,1981",0.0929,0.0933,0.0929,0.0929,0.0004,0,11760000,0,0.088014286,0.003552636
"3,3,1981",0.092,0.092,0.0916,0.0916,0.0004,-0.0004,16172800,1,0.089014286,0.003434043
"4,3,1981",0.0911,0.0911,0.0907,0.0907,0.0004,-0.0004,13708800,1,0.0897,0.003216031
"5,3,1981",0.0907,0.0907,0.0902,0.0902,0.0005,-0.0005,5376000,1,0.090757143,0.001568309
"6,3,1981",0.0902,0.0902,0.0894,0.0894,0.0008,-0.0008,11603200,1,0.090942857,0.001295991
"9,3,1981",0.0828,0.0828,0.0824,0.0824,0.0004,-0.0004,15321600,1,0.089942857,0.003281053
"10,3,1981",0.0789,0.0789,0.0785,0.0785,0.0004,-0.0004,28380800,1,0.087957143,0.004966418
"11,3,1981",0.0763,0.0763,0.0754,0.0754,0.0009,-0.0009,29859200,1,0.085457143,0.006119724
"12,3,1981",0.0785,0.0789,0.0785,0.0785,0.0004,0,59248000,0,0.083585714,0.005955892
"13,03,1981",0.078,0.078,0.0776,0.0776,0.0004,-0.0004,231302400,1,0.081714286,0.005464281
"16,03,1981",0.0807,0.0815,0.0807,0.0807,0.0008,0,37228800,0,0.080357143,0.004228089
"17,03,1981",0.0846,0.0855,0.0846,0.0846,0.0009,0,43747200,0,0.079671429,0.002880334
"18,03,1981",0.0898,0.0907,0.0898,0.0898,0.0009,0,36937600,0,0.080728571,0.004557479
"19,03,1981",0.0894,0.0894,0.089,0.089,0.0004,-0.0004,37811200,1,0.082228571,0.005252133
"20,03,1981",0.0898,0.0907,0.0898,0.0898,0.0009,0,14604800,0,0.084285714,0.004988108
"23,03,1981",0.0933,0.0942,0.0933,0.0933,0.0009,0,22019200,0,0.0864,0.005218922
"24,03,1981",0.0933,0.0933,0.0929,0.0929,0.0004,-0.0004,28156800,1,0.088585714,0.004175243
"25,03,1981",0.092,0.092,0.0911,0.0911,0.0009,-0.0009,7056000,1,0.090071429,0.002691635
"26,03,1981",0.0898,0.0898,0.0894,0.0894,0.0004,-0.0004,12275200,1,0.090757143,0.001600765
"27,03,1981",0.0868,0.0868,0.0863,0.0863,0.0005,-0.0005,12252800,1,0.090257143,0.002240445
"30,03,1981",0.0863,0.0872,0.0863,0.0863,0.0009,0,9900800,0,0.089871429,0.002623364
"31,03,1981",0.0863,0.0863,0.0855,0.0855,0.0008,-0.0008,15993600,1,0.089257143,0.00303873
"1,4,1981",0.085,0.085,0.0846,0.0846,0.0004,-0.0004,34070400,1,0.088014286,0.002907345
"2,4,1981",0.092,0.0924,0.092,0.092,0.0004,0,31404800,0,0.087885714,0.00270102
"3,4,1981",0.0924,0.0929,0.0924,0.0924,0.0005,0,16486400,0,0.088071429,0.002948953
"6,4,1981",0.0911,0.0911,0.0907,0.0907,0.0004,-0.0004,22803200,1,0.088257143,0.003065409
"7,4,1981",0.0902,0.0902,0.0898,0.0898,0.0004,-0.0004,10684800,1,0.088757143,0.002989915
"8,4,1981",0.0942,0.0951,0.0942,0.0942,0.0009,0,21952000,0,0.089885714,0.003321974
"9,4,1981",0.0959,0.0963,0.0959,0.0959,0.0004,0,12499200,0,0.091371429,0.003353767
"10,4,1981",0.0973,0.0977,0.0973,0.0973,0.0004,0,33465600,0,0.093185714,0.002535141
"13,04,1981",0.0973,0.0977,0.0973,0.0973,0.0004,0,16060800,0,0.093942857,0.002840954
"14,04,1981",0.0973,0.0977,0.0973,0.0973,0.0004,0,6652800,0,0.094642857,0.002975066
"15,04,1981",0.0929,0.0929,0.0924,0.0924,0.0005,-0.0005,34048000,1,0.094885714,0.002699962
"16,04,1981",0.0876,0.0876,0.0872,0.0872,0.0004,-0.0004,23878400,1,0.094514286,0.003448987
"20,04,1981",0.0898,0.0902,0.0898,0.0898,0.0004,0,35347200,0,0.093885714,0.003828998
"21,04,1981",0.0959,0.0963,0.0959,0.0959,0.0004,0,28537600,0,0.093885714,0.003828998
"22,04,1981",0.0994,0.0998,0.0994,0.0994,0.0004,0,18995200,0,0.094185714,0.004153287
"23,04,1981",0.102,0.1025,0.102,0.102,0.0005,0,58016000,0,0.094857143,0.004912915
"24,04,1981",0.102,0.102,0.1012,0.1012,0.0008,-0.0008,35056000,1,0.095414286,0.005359219
"27,04,1981",0.1007,0.1007,0.1003,0.1003,0.0004,-0.0004,38528000,1,0.096542857,0.005436873
"28,04,1981",0.099,0.099,0.0985,0.0985,0.0005,-0.0005,32188800,1,0.098157143,0.003876986
"29,04,1981",0.0977,0.0977,0.0973,0.0973,0.0004,-0.0004,13641600,1,0.099228571,0.002002651
"30,04,1981",0.099,0.0998,0.099,0.099,0.0008,0,12611200,0,0.099671429,0.00149639
"1,5,1981",0.099,0.0998,0.099,0.099,0.0008,0,16553600,0,0.099614286,0.001513207
"4,5,1981",0.099,0.099,0.0985,0.0985,0.0005,-0.0005,14448000,1,0.099114286,0.00118494
"5,5,1981",0.0985,0.0985,0.0981,0.0981,0.0004,-0.0004,17539200,1,0.098671429,0.000856428
"6,5,1981",0.0959,0.0959,0.0955,0.0955,0.0004,-0.0004,18950400,1,0.097985714,0.001149445
"7,5,1981",0.0968,0.0973,0.0968,0.0968,0.0005,0,9363200,0,0.097742857,0.001193862
"8,5,1981",0.0977,0.0981,0.0977,0.0977,0.0004,0,7907200,0,0.0978,0.001180799
"11,5,1981",0.0959,0.0959,0.0955,0.0955,0.0004,-0.0004,11939200,1,0.0973,0.001301647
"12,5,1981",0.0955,0.0968,0.0955,0.0955,0.0013,0,4256000,0,0.0968,0.00122241
"13,05,1981",0.0955,0.0963,0.0951,0.0951,0.0012,-0.0004,4905600,1,0.096314286,0.00112177
"14,05,1981",0.0946,0.0946,0.0937,0.0937,0.0009,-0.0009,4928000,1,0.095685714,0.00117647
"15,05,1981",0.0959,0.0973,0.0959,0.0959,0.0014,0,4905600,0,0.095742857,0.001175776
"18,05,1981",0.0977,0.0985,0.0977,0.0977,0.0008,0,4166400,0,0.095871429,0.001324186
"19,05,1981",0.0963,0.0963,0.0959,0.0959,0.0004,-0.0004,25424000,1,0.095614286,0.001099907
"20,05,1981",0.099,0.0998,0.099,0.099,0.0008,0,13283200,0,0.096114286,0.001611059
"21,05,1981",0.1046,0.1051,0.1046,0.1046,0.0005,0,32211200,0,0.097414286,0.003337419
"22,05,1981",0.1095,0.1103,0.1095,0.1095,0.0008,0,31427200,0,0.099471429,0.005196899
