Area,Perimeter,MajorAxisLength,Eccentricity,EquivDiameter,Solidity,roundness,Compactness,ShapeFactor1,Class
69892,1052.973,389.8557707,0.809910114,298.3106741,0.982470937,0.792141674,0.765182143,0.005577974,1
34584,704.813,272.4483634,0.804091076,209.8421226,0.989811105,0.87485741,0.770208784,0.007877873,2
72102,1072.061,377.6167303,0.764314228,302.990293,0.982316076,0.788348383,0.802375183,0.005237257,1
207673,1755.004,659.2733366,0.788862697,514.2153984,0.985222119,0.847293119,0.779972994,0.003174574,2
200116,1773.379,636.1081262,0.774577472,504.7728249,0.987573655,0.799629034,0.793533055,0.003178697,2
30065,642.016,239.4651628,0.742921489,195.652618,0.98849252,0.916598979,0.817040006,0.007964915,2
34823,682.046,251.260848,0.71101864,210.5659532,0.990725198,0.940694737,0.838037262,0.007215371,2
27459,611.196,231.5531591,0.757400847,186.9809741,0.989157061,0.923705596,0.807507765,0.008432687,2
41928,774.592,295.1548321,0.787829759,231.050617,0.987819531,0.878148565,0.782811568,0.007039564,3
231066,1787.859,641.9042752,0.697148261,542.4042484,0.992112596,0.908404716,0.844992422,0.002778013,2
79463,1068.778,412.6149753,0.801081973,318.0808607,0.985978931,0.874177874,0.770890248,0.005192542,4
91010,1196.528,428.4628408,0.774542473,340.4078891,0.985564688,0.79882794,0.794486375,0.004707866,1
71085,1049.342,383.9366687,0.78692973,300.8458626,0.98529371,0.811248151,0.783582,0.005401093,1
67593,992.946,392.317798,0.824074406,293.3633933,0.981301084,0.861510004,0.74776978,0.005804119,4
43726,788.823,306.4328456,0.803136327,235.9526909,0.986107979,0.883060552,0.769998041,0.007008024,3
68988,1015.946,384.3988557,0.799493982,296.375184,0.979859671,0.839928213,0.771009538,0.005571967,4
26264,599.479,221.7402597,0.731459863,182.8670648,0.98751692,0.918380778,0.824690406,0.008442745,2
46515,815.292,298.5064641,0.743490337,243.361331,0.986595117,0.879379886,0.815263186,0.006417424,3
28552,619.107,227.103332,0.708848766,190.6660313,0.989053623,0.936084319,0.839556292,0.007954025,2
57781,958.226,381.7761337,0.861095198,271.2361593,0.98813168,0.790786081,0.710458657,0.006607295,4
33248,660.068,230.9698347,0.607696024,205.7490422,0.992151831,0.958954568,0.890804821,0.006946879,5
47323,824.295,318.0030004,0.801056512,245.4659141,0.987706629,0.87521913,0.771898107,0.00671984,3
39009,729.669,259.6263611,0.674892023,222.8627412,0.989975637,0.920710063,0.858397969,0.00665555,3
41966,746.121,273.5086784,0.699533855,231.1552957,0.993278107,0.947303001,0.845147938,0.006517387,2
73720,1050.731,397.3946579,0.801735246,306.3710483,0.984337655,0.839096867,0.770949086,0.005390595,4
43497,774.492,289.2876329,0.747722072,235.334019,0.991588018,0.911245289,0.813494917,0.006650749,3
30132,641.444,235.3682107,0.717086723,195.870503,0.98541435,0.92028073,0.832187586,0.007811238,2
26614,598.639,220.4256253,0.715086444,184.0814962,0.988743173,0.933232819,0.835118403,0.008282319,2
32858,669.885,247.760391,0.730644215,204.5387615,0.98981805,0.920132738,0.825550689,0.007540337,2
55563,873.756,315.9455,0.702897275,265.9793391,0.990427807,0.914566329,0.841851962,0.005686257,3
73874,1035.476,403.2854111,0.81336794,306.6908837,0.989326512,0.865807621,0.760480978,0.005459098,4
193584,1693.359,637.0427226,0.789977336,496.4663171,0.980758124,0.848362069,0.779329705,0.003290782,2
54608,918.369,375.7502858,0.86977843,263.6836458,0.991790774,0.8136389,0.701752349,0.006880865,4
36651,709.026,260.0872702,0.722469168,216.0219955,0.989952192,0.916160093,0.830575043,0.007096321,3
27617,625.484,243.7987353,0.804442587,187.5181498,0.988581042,0.887061957,0.769151446,0.00882785,2
169969,1592.346,601.3500192,0.796568728,465.2002281,0.986660243,0.842373509,0.773593104,0.003537998,2
37951,699.222,240.5254647,0.548288928,219.8197306,0.991690402,0.975445298,0.913914587,0.00633779,5
43848,845.054,343.3073032,0.878476983,236.2816276,0.985835694,0.771597354,0.688251096,0.007829486,4
51401,856.431,328.4893162,0.793240855,255.8237398,0.991149248,0.880636485,0.778788616,0.006390718,3
41856,821.132,324.393372,0.861183682,230.8521483,0.986262636,0.78008447,0.711642617,0.007750224,4
28942,638.382,242.3026956,0.77487853,191.9637958,0.986401281,0.892436115,0.792247876,0.008372009,2
69673,1063.011,390.0669854,0.810042421,297.8429432,0.983165411,0.774816495,0.763568706,0.005598539,1
33264,680.455,253.7941285,0.75090074,205.7985428,0.989528796,0.902787457,0.810887722,0.007629694,2
62289,1021.13,420.2957147,0.89272592,281.6182132,0.987491677,0.750687443,0.670047786,0.006747511,4
29636,655.394,252.9319024,0.806241582,194.2517108,0.988426775,0.867010841,0.768000038,0.008534617,2
39030,739.241,283.723807,0.785410104,222.9227208,0.98767619,0.897503857,0.785703262,0.007269378,2
51492,867.948,347.5726681,0.83869045,256.050094,0.990402185,0.85893878,0.736680751,0.006750032,4
