UDI,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
1,1,298.1,308.6,1551,42.8,0,0,No Failure
2,3,298.2,308.7,1408,46.3,3,0,No Failure
3,3,298.1,308.5,1498,49.4,5,0,No Failure
4,3,298.2,308.6,1433,39.5,7,0,No Failure
5,3,298.2,308.7,1408,40,9,0,No Failure
6,1,298.1,308.6,1425,41.9,11,0,No Failure
7,3,298.1,308.6,1558,42.4,14,0,No Failure
8,3,298.1,308.6,1527,40.2,16,0,No Failure
9,1,298.3,308.7,1667,28.6,18,0,No Failure
10,1,298.5,309,1741,28,21,0,No Failure
11,2,298.4,308.9,1782,23.9,24,0,No Failure
12,2,298.6,309.1,1423,44.3,29,0,No Failure
13,1,298.6,309.1,1339,51.1,34,0,No Failure
14,1,298.6,309.2,1742,30,37,0,No Failure
15,3,298.6,309.2,2035,19.6,40,0,No Failure
16,3,298.6,309.2,1542,48.4,42,0,No Failure
17,1,298.6,309.2,1311,46.6,44,0,No Failure
18,1,298.7,309.2,1410,45.6,47,0,No Failure
19,2,298.8,309.2,1306,54.5,50,0,No Failure
20,1,298.9,309.3,1632,32.5,55,0,No Failure
21,2,298.9,309.3,1375,42.7,58,0,No Failure
22,3,298.8,309.3,1450,44.8,63,0,No Failure
23,1,298.9,309.3,1581,30.7,65,0,No Failure
24,3,299,309.4,1758,25.7,68,0,No Failure
25,1,299,309.4,1561,37.3,70,0,No Failure
26,3,299,309.5,1861,23.3,73,0,No Failure
27,3,299.1,309.5,1512,39,75,0,No Failure
28,2,299.1,309.4,1811,24.6,77,0,No Failure
29,3,299.1,309.4,1439,44.2,82,0,No Failure
30,3,299,309.4,1693,30.1,84,0,No Failure
31,1,299.1,309.5,1339,48.2,86,0,No Failure
32,3,299,309.4,1798,25.5,89,0,No Failure
33,3,299,309.4,1419,48.3,91,0,No Failure
34,3,298.9,309.3,1665,32.5,93,0,No Failure
35,1,298.8,309.1,1559,34.7,95,0,No Failure
36,1,298.8,309.2,1452,48.6,98,0,No Failure
37,1,298.9,309.2,1581,36.7,101,0,No Failure
38,3,298.8,309.1,1439,39.2,104,0,No Failure
39,2,298.9,309.2,1379,50.7,106,0,No Failure
40,3,298.8,309.1,1350,52.5,111,0,No Failure
41,3,298.8,309.1,1362,45.4,113,0,No Failure
42,3,298.8,309.1,1368,50.8,115,0,No Failure
43,1,298.8,309.1,1368,49.1,117,0,No Failure
44,2,298.8,309.2,1372,48.5,120,0,No Failure
45,1,298.8,309.1,1472,47.5,125,0,No Failure
46,3,298.8,309.1,1489,49.1,128,0,No Failure
47,1,298.7,309,1843,25.8,130,0,No Failure
48,3,298.8,309.1,1418,46.3,133,0,No Failure
49,2,298.8,309.2,1425,53.9,135,0,No Failure
50,1,298.9,309.2,1412,44.1,140,0,No Failure
51,3,298.9,309.1,2861,4.6,143,1,Power Failure
52,3,298.9,309.1,1383,54.9,145,0,No Failure
53,2,298.8,309,1497,43.8,147,0,No Failure
54,3,298.7,309,1565,35.1,152,0,No Failure
55,3,298.7,309,1691,30.1,154,0,No Failure
56,3,298.8,309.1,1512,40.7,156,0,No Failure
57,3,298.8,309.1,1477,42.4,158,0,No Failure
58,3,298.8,309.1,1513,40.3,160,0,No Failure
59,1,298.8,309,1661,29.5,162,0,No Failure
60,3,298.8,309.1,1378,54.4,165,0,No Failure
61,3,298.8,309.1,1393,52.6,167,0,No Failure
