 Mean of the integrated profile, Standard deviation of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Skewness of the DM-SNR curve,target_class
121.15625,48.37297113,-0.013165489,3.168896321,18.3993666,65.15929771,0
76.96875,36.17555664,3.388718563,2.399665552,17.57099693,102.7229747,0
130.5859375,53.22953353,-0.297241641,2.743311037,22.36255299,74.0313242,0
156.3984375,48.86594223,-0.171293649,17.47157191,,7.197841911,0
84.8046875,36.11765898,3.274125373,2.790133779,20.61800857,76.29112787,0
121.0078125,47.17694354,0.09133623,2.036789298,,112.1317212,0
79.34375,42.40217372,2.24437669,141.6413043,,-1.200653174,0
109.40625,55.91252061,0.056246664,2.797658863,19.49652729,97.37457842,0
95.0078125,40.21980546,1.153164381,2.77006689,18.21774119,70.80193775,0
109.15625,47.00223357,0.190295686,4.578595318,,36.3424926,0
130.0859375,46.40262441,-0.034468391,5.050167224,27.99747644,38.15478586,0
96.9375,40.53735738,0.755829381,1.971571906,11.63696371,202.68664,0
146.6953125,47.80617746,0.554926309,2.885451505,18.04378053,112.6258021,0
128.734375,48.69556005,0.30780294,5.307692308,25.16229543,32.73983291,0
102.3671875,49.8420742,0.180464824,1.918896321,14.84679658,141.9361191,0
125.609375,53.51478102,-0.413431636,2.246655518,13.53869213,129.5236723,0
150.09375,56.70047915,-0.59470588,137.1488294,51.22345555,0.598846574,0
104.5625,46.65879305,0.165345961,0.473244147,9.305756832,559.6798641,0
115.78125,53.30571286,-0.518847463,3.565217391,22.37234155,65.02484401,0
133.125,59.95727646,-0.804890239,31.55351171,65.2362543,1.35850768,0
125.1484375,46.00001526,-0.041770772,3.218227425,17.95311719,69.18786779,0
99.28125,71.95646877,-0.82764003,197.2341137,63.75879799,2.431296609,0
83.9375,45.71271534,1.342901713,1.747491639,12.07057502,,0
135.1328125,47.87179674,0.37556666,5.22993311,,39.37255786,0
111.7109375,46.57053661,-0.061646003,2.139632107,16.65571305,97.73376005,0
127.328125,45.33953665,-0.206532229,3.955685619,26.25178209,46.62379063,0
101.9140625,52.23953653,-0.291253721,9.372073579,35.10621041,16.64677944,0
108.7421875,47.58910164,0.245138892,17.37959866,51.98174414,6.628034558,0
128.484375,50.99141845,-0.495919613,1.756688963,16.89744287,152.8897009,0
102.234375,44.50780907,0.455562472,4.75083612,28.10226412,39.41359715,0
98.5703125,45.06950944,0.853318645,1.815217391,13.49266378,146.393325,0
36.7109375,38.26024216,20.29698008,107.2123746,74.62119531,-0.819637695,1
108.7578125,47.47083744,-0.011839737,3.428929766,22.80572595,58.33907469,0
117.6796875,47.45704202,-0.13550329,2.731605351,21.99328807,71.5876406,0
43.5,28.49122672,26.33986977,39.58528428,75.5334114,1.403351821,1
122.09375,50.78346149,-0.417075863,1.796822742,13.68456238,,0
121.5546875,58.891294,-0.71180853,3.219063545,19.52642934,69.80281758,0
107.703125,44.72631345,0.390774775,2.598662207,17.14504711,85.01391793,0
84.546875,35.81045138,2.969175667,1.196488294,12.17894811,228.9704449,0
126.5625,40.25305695,0.431275602,2.380434783,,95.38102129,0
66.8515625,58.08803796,2.232983407,67.02090301,80.61287231,-0.637751734,1
100.078125,51.50828352,0.060150662,4.108695652,21.70576788,,0
135.265625,50.1224258,-0.398289737,2.705685619,14.41809996,99.26768573,0
105.2734375,48.25303016,0.450317547,2.418896321,17.69773933,81.51229523,0
142.96875,41.5584937,0.391281115,7.115384615,32.01745026,22.29795865,0
107.171875,41.14268415,1.514337381,1.316889632,11.16697902,250.5981445,0
126.2734375,49.21790116,-0.176735487,2.432274247,13.37919797,124.8081583,0
128.34375,46.15859845,0.130211339,3.647993311,20.20097197,,0
89.4453125,36.53675559,3.164132145,1.850334448,15.44632009,163.945695,0
110.0625,41.78960509,0.949607938,1.611204013,13.43926664,170.3712138,0
98.5234375,46.92896308,0.341512169,1.077759197,12.53415963,224.3125948,0
107.0703125,51.69519797,-0.400657998,1.83277592,17.55970596,117.1317754,0
131.4765625,55.99497255,-0.596634779,2.857859532,18.31021783,94.30128595,0
95.6796875,40.81665055,1.450842937,3.606187291,21.24580451,73.62044003,0
109.3359375,47.86100927,0.266654812,2.219063545,13.92240217,123.2870333,0
120.59375,55.71389491,-0.232141931,3.531772575,20.84798845,75.91971125,0
112.5390625,47.18711131,-0.126275519,2.31187291,18.8612845,84.42433287,0
114.828125,49.34573648,-0.313794504,5.418060201,29.23693674,35.5156541,0
126.1015625,50.90245571,-0.524239396,8.883779264,41.55856613,,0
126.2421875,49.2720043,-0.147103385,1.461538462,11.59551114,216.9895575,0
117.2421875,52.80221736,-0.367926062,1.358695652,12.47851396,204.3573271,0
134.8046875,47.98210255,0.014367744,5.170568562,27.95880875,39.65366837,0
118.9375,49.80755935,0.036605939,0.758361204,9.734999025,418.4345867,0
130.21875,45.73957147,0.29734548,5.718227425,25.78250364,38.07241826,0
103.03125,35.7580711,1.648295446,2.10367893,18.00824653,100.1517883,0
96.3125,41.47848652,1.158834437,2.574414716,15.40724695,106.2126468,0
110.2890625,48.79103279,-0.188130235,1.130434783,12.89265081,223.5576777,0
118.140625,58.5621644,-0.804809152,2.054347826,14.64957073,145.1337069,0
69.2109375,35.25723604,4.435121802,2.345317726,20.20025961,91.75081705,1
120.03125,55.15148705,-0.361874096,3.170568562,18.3006571,58.5223561,0
94.5,49.49542277,0.547892636,2.265886288,13.18480199,134.1595321,0
144.75,42.04276097,0.646575786,2.069397993,,150.6634825,0
119.984375,45.06384089,0.128979534,2.359531773,14.67118423,112.9758503,0
126.5546875,45.01333285,0.308553175,4.983277592,28.88093517,34.91794317,1
126.5546875,53.52055805,-0.27756295,16.89632107,51.41645124,7.168551386,0
130.2265625,36.63805545,1.299277285,17.47826087,46.02987647,6.396015875,0
128.2890625,55.26514956,-0.443164315,1.846989967,13.24117044,161.8683904,0
139.140625,43.63838161,0.098468574,4.258361204,21.3254987,45.61077912,0
128.984375,52.18102271,-0.429864195,1.199832776,14.82453787,183.2836143,1
95.0078125,37.6525016,1.802161665,2.950668896,20.50018536,66.80014907,0
95.2890625,47.04006808,0.50311606,4.890468227,23.73887085,44.17721975,0
105.3125,41.73423168,1.583587725,56.20317726,75.99873276,,1
79.0703125,43.38385781,3.885098004,34.2173913,64.41764776,1.680739323,1
131.7734375,46.85803274,0.272260622,4.265050167,24.59982358,44.06410147,0
98.5625,40.05323606,1.437456043,3.413879599,21.92511826,,0
131.9609375,44.18027741,0.406702378,2.555183946,17.63987004,87.22027034,0
110.7890625,46.24217034,0.017427097,1.158862876,10.66178968,294.0762933,0
136.0625,42.71668109,0.361931836,3.578595318,23.38959714,60.96025706,0
118.8046875,46.7792453,0.117742368,2.276755853,14.45704611,117.9152166,0
