 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve,target_class
121.15625,48.37297113,0.375484665,3.168896321,18.3993666,7.449874149,0
76.96875,36.17555664,0.71289786,2.399665552,17.57099693,9.414652256,0
130.5859375,53.22953353,0.133408289,2.743311037,22.36255299,8.508363784,0
156.3984375,48.86594223,-0.215988596,17.47157191,,2.958065943,0
84.8046875,36.11765898,0.825012787,2.790133779,20.61800857,8.405008383,0
121.0078125,47.17694354,0.229708131,2.036789298,,9.546051121,0
79.34375,42.40217372,1.063412906,141.6413043,,-0.700808817,0
109.40625,55.91252061,0.565105947,2.797658863,19.49652729,9.443282129,0
95.0078125,40.21980546,0.3475781,2.77006689,18.21774119,7.85120501,0
109.15625,47.00223357,0.394181838,4.578595318,,5.702532189,0
130.0859375,46.40262441,-0.046584831,5.050167224,27.99747644,6.059849443,0
96.9375,40.53735738,0.419405572,1.971571906,11.63696371,11.62911954,0
146.6953125,47.80617746,-0.468418783,2.885451505,18.04378053,9.792420652,0
128.734375,48.69556005,,5.307692308,25.16229543,5.497543863,0
102.3671875,49.8420742,0.32951523,1.918896321,14.84679658,11.04450759,0
125.609375,53.51478102,0.109210844,2.246655518,13.53869213,9.713802964,0
150.09375,56.70047915,-0.256682808,137.1488294,51.22345555,-0.540918677,0
104.5625,46.65879305,0.35050536,0.473244147,9.305756832,22.81086106,0
115.78125,53.30571286,,3.565217391,22.37234155,7.740922135,0
133.125,59.95727646,0.012855051,31.55351171,65.2362543,1.73517963,0
125.1484375,46.00001526,0.114333106,3.218227425,17.95311719,7.517878845,0
99.28125,71.95646877,0.765557849,197.2341137,63.75879799,-1.876387679,0
83.9375,45.71271534,0.74877682,1.747491639,12.07057502,11.83855704,0
135.1328125,47.87179674,-0.155980676,5.22993311,,5.787466528,0
111.7109375,46.57053661,0.272860629,2.139632107,16.65571305,9.353872066,0
127.328125,45.33953665,-0.02866461,3.955685619,26.25178209,6.815905214,0
101.9140625,52.23953653,0.21674266,9.372073579,35.10621041,4.12515696,0
108.7421875,47.58910164,0.462444242,17.37959866,51.98174414,2.84873868,0
128.484375,50.99141845,0.058376664,1.756688963,16.89744287,11.75806781,0
102.234375,44.50780907,0.543618819,4.75083612,28.10226412,6.250715403,0
98.5703125,45.06950944,0.349156883,1.815217391,13.49266378,10.80026393,0
36.7109375,38.26024216,4.363306569,107.2123746,74.62119531,0.115883054,1
108.7578125,47.47083744,0.233883385,3.428929766,22.80572595,7.431087285,0
117.6796875,47.45704202,0.214801403,2.731605351,21.99328807,8.401668908,0
43.5,28.49122672,4.334565003,39.58528428,75.5334114,1.706101856,1
122.09375,50.78346149,0.01799367,1.796822742,13.68456238,10.42457337,0
121.5546875,58.891294,0.013886214,3.219063545,19.52642934,7.775510532,0
107.703125,44.72631345,,2.598662207,17.14504711,8.498741192,0
84.546875,35.81045138,0.90360292,1.196488294,12.17894811,13.95346437,0
126.5625,40.25305695,0.062489168,2.380434783,,9.514008553,0
66.8515625,58.08803796,1.802132263,67.02090301,80.61287231,0.841739875,1
100.078125,51.50828352,0.499828032,4.108695652,21.70576788,7.119164178,0
135.265625,50.1224258,-0.101259289,2.705685619,14.41809996,8.357114893,0
105.2734375,48.25303016,0.512676158,2.418896321,17.69773933,8.490664705,0
142.96875,41.5584937,-0.343295424,7.115384615,32.01745026,4.747219416,0
107.171875,41.14268415,0.421809082,1.316889632,11.16697902,13.66969118,0
126.2734375,49.21790116,0.028076659,2.432274247,13.37919797,9.203359217,0
128.34375,46.15859845,-0.049487341,3.647993311,20.20097197,6.774932869,0
89.4453125,36.53675559,0.895555863,1.850334448,15.44632009,11.89374235,0
110.0625,41.78960509,0.314973781,1.611204013,13.43926664,11.80778947,0
98.5234375,46.92896308,0.296745946,1.077759197,12.53415963,14.09775951,0
107.0703125,51.69519797,,1.83277592,17.55970596,10.53007549,0
131.4765625,55.99497255,0.064627218,2.857859532,18.31021783,8.947855846,0
95.6796875,40.81665055,0.534375121,3.606187291,21.24580451,7.998484715,0
109.3359375,47.86100927,0.238169773,2.219063545,13.92240217,9.655650399,0
120.59375,55.71389491,,3.531772575,20.84798845,8.088507973,0
