 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve,target_class
121.15625,48.37297113,0.375484665,-0.013165489,3.168896321,18.3993666,0
76.96875,36.17555664,0.71289786,3.388718563,2.399665552,17.57099693,0
130.5859375,53.22953353,0.133408289,-0.297241641,2.743311037,22.36255299,0
156.3984375,48.86594223,-0.215988596,-0.171293649,17.47157191,,0
84.8046875,36.11765898,0.825012787,3.274125373,2.790133779,20.61800857,0
121.0078125,47.17694354,0.229708131,0.09133623,2.036789298,,0
79.34375,42.40217372,1.063412906,2.24437669,141.6413043,,0
109.40625,55.91252061,0.565105947,0.056246664,2.797658863,19.49652729,0
95.0078125,40.21980546,0.3475781,1.153164381,2.77006689,18.21774119,0
109.15625,47.00223357,0.394181838,0.190295686,4.578595318,,0
130.0859375,46.40262441,-0.046584831,-0.034468391,5.050167224,27.99747644,0
96.9375,40.53735738,0.419405572,0.755829381,1.971571906,11.63696371,0
146.6953125,47.80617746,-0.468418783,0.554926309,2.885451505,18.04378053,0
128.734375,48.69556005,,0.30780294,5.307692308,25.16229543,0
102.3671875,49.8420742,0.32951523,0.180464824,1.918896321,14.84679658,0
125.609375,53.51478102,0.109210844,-0.413431636,2.246655518,13.53869213,0
150.09375,56.70047915,-0.256682808,-0.59470588,137.1488294,51.22345555,0
104.5625,46.65879305,0.35050536,0.165345961,0.473244147,9.305756832,0
115.78125,53.30571286,,-0.518847463,3.565217391,22.37234155,0
133.125,59.95727646,0.012855051,-0.804890239,31.55351171,65.2362543,0
125.1484375,46.00001526,0.114333106,-0.041770772,3.218227425,17.95311719,0
99.28125,71.95646877,0.765557849,-0.82764003,197.2341137,63.75879799,0
83.9375,45.71271534,0.74877682,1.342901713,1.747491639,12.07057502,0
135.1328125,47.87179674,-0.155980676,0.37556666,5.22993311,,0
111.7109375,46.57053661,0.272860629,-0.061646003,2.139632107,16.65571305,0
127.328125,45.33953665,-0.02866461,-0.206532229,3.955685619,26.25178209,0
101.9140625,52.23953653,0.21674266,-0.291253721,9.372073579,35.10621041,0
108.7421875,47.58910164,0.462444242,0.245138892,17.37959866,51.98174414,0
128.484375,50.99141845,0.058376664,-0.495919613,1.756688963,16.89744287,0
102.234375,44.50780907,0.543618819,0.455562472,4.75083612,28.10226412,0
98.5703125,45.06950944,0.349156883,0.853318645,1.815217391,13.49266378,0
36.7109375,38.26024216,4.363306569,20.29698008,107.2123746,74.62119531,1
108.7578125,47.47083744,0.233883385,-0.011839737,3.428929766,22.80572595,0
117.6796875,47.45704202,0.214801403,-0.13550329,2.731605351,21.99328807,0
43.5,28.49122672,4.334565003,26.33986977,39.58528428,75.5334114,1
122.09375,50.78346149,0.01799367,-0.417075863,1.796822742,13.68456238,0
121.5546875,58.891294,0.013886214,-0.71180853,3.219063545,19.52642934,0
107.703125,44.72631345,,0.390774775,2.598662207,17.14504711,0
84.546875,35.81045138,0.90360292,2.969175667,1.196488294,12.17894811,0
126.5625,40.25305695,0.062489168,0.431275602,2.380434783,,0
66.8515625,58.08803796,1.802132263,2.232983407,67.02090301,80.61287231,1
100.078125,51.50828352,0.499828032,0.060150662,4.108695652,21.70576788,0
135.265625,50.1224258,-0.101259289,-0.398289737,2.705685619,14.41809996,0
105.2734375,48.25303016,0.512676158,0.450317547,2.418896321,17.69773933,0
142.96875,41.5584937,-0.343295424,0.391281115,7.115384615,32.01745026,0
107.171875,41.14268415,0.421809082,1.514337381,1.316889632,11.16697902,0
126.2734375,49.21790116,0.028076659,-0.176735487,2.432274247,13.37919797,0
128.34375,46.15859845,-0.049487341,0.130211339,3.647993311,20.20097197,0
89.4453125,36.53675559,0.895555863,3.164132145,1.850334448,15.44632009,0
110.0625,41.78960509,0.314973781,0.949607938,1.611204013,13.43926664,0
98.5234375,46.92896308,0.296745946,0.341512169,1.077759197,12.53415963,0
107.0703125,51.69519797,,-0.400657998,1.83277592,17.55970596,0
131.4765625,55.99497255,0.064627218,-0.596634779,2.857859532,18.31021783,0
95.6796875,40.81665055,0.534375121,1.450842937,3.606187291,21.24580451,0
109.3359375,47.86100927,0.238169773,0.266654812,2.219063545,13.92240217,0
120.59375,55.71389491,,-0.232141931,3.531772575,20.84798845,0
112.5390625,47.18711131,0.129595466,-0.126275519,2.31187291,18.8612845,0
114.828125,49.34573648,0.135934885,-0.313794504,5.418060201,29.23693674,0
126.1015625,50.90245571,-0.126128261,-0.524239396,8.883779264,41.55856613,0
126.2421875,49.2720043,0.088329184,-0.147103385,1.461538462,11.59551114,0
117.2421875,52.80221736,0.217252967,-0.367926062,1.358695652,12.47851396,0
134.8046875,47.98210255,-0.218267353,0.014367744,5.170568562,27.95880875,0
118.9375,49.80755935,0.394053112,0.036605939,0.758361204,9.734999025,0
130.21875,45.73957147,-0.00273831,0.29734548,5.718227425,25.78250364,0
103.03125,35.7580711,0.403119745,1.648295446,2.10367893,18.00824653,0
96.3125,41.47848652,0.566614165,1.158834437,2.574414716,15.40724695,0
110.2890625,48.79103279,0.207246515,-0.188130235,1.130434783,12.89265081,0
118.140625,58.5621644,0.148266465,-0.804809152,2.054347826,14.64957073,0
69.2109375,35.25723604,1.093096134,4.435121802,2.345317726,20.20025961,1
120.03125,55.15148705,-0.121200047,-0.361874096,3.170568562,18.3006571,0
94.5,49.49542277,,0.547892636,2.265886288,13.18480199,0
144.75,42.04276097,-0.080527561,0.646575786,2.069397993,,0
119.984375,45.06384089,0.182795197,0.128979534,2.359531773,14.67118423,0
126.5546875,45.01333285,0.380317761,0.308553175,4.983277592,28.88093517,1
126.5546875,53.52055805,0.11648633,-0.27756295,16.89632107,51.41645124,0
130.2265625,36.63805545,-0.108416941,1.299277285,17.47826087,46.02987647,0
128.2890625,55.26514956,0.069834842,-0.443164315,1.846989967,13.24117044,0
139.140625,43.63838161,-0.247884078,0.098468574,4.258361204,21.3254987,0
128.984375,52.18102271,0.173898954,-0.429864195,1.199832776,14.82453787,1
95.0078125,37.6525016,0.315869601,1.802161665,2.950668896,20.50018536,0
95.2890625,47.04006808,0.411826466,0.50311606,4.890468227,23.73887085,0
105.3125,41.73423168,0.842887995,1.583587725,56.20317726,75.99873276,1
79.0703125,43.38385781,1.584939782,3.885098004,34.2173913,64.41764776,1
