Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
69892,1052.973,389.8557707,228.6714658,1.704872837,0.809910114,71139,298.3106741,0.684269784,0.982470937,0.792141674,0.765182143,0.005577974,0.001179548,0.585503712,0.998209375,1
34584,704.813,272.4483634,161.9722227,1.682068436,0.804091076,34940,209.8421226,0.678170837,0.989811105,0.87485741,0.770208784,0.007877873,0.001710104,0.593221571,0.99783928,2
72102,1072.061,377.6167303,243.503876,1.550762708,0.764314228,73400,302.990293,0.70845206,0.982316076,0.788348383,0.802375183,0.005237257,0.00133904,0.643805934,0.998390234,1
207673,1755.004,659.2733366,405.1692712,1.627155324,0.788862697,210788,514.2153984,0.733686858,0.985222119,0.847293119,0.779972994,0.003174574,0.000724742,0.608357872,0.98989275,3
200116,1773.379,636.1081262,402.3250586,1.581080056,0.774577472,202634,504.7728249,0.773419082,0.987573655,0.799629034,0.793533055,0.003178697,0.00077748,0.62969471,0.995597747,3
30065,642.016,239.4651628,160.2928466,1.493922953,0.742921489,30415,195.652618,0.750630415,0.98849252,0.916598979,0.817040006,0.007964915,0.002189446,0.667554371,0.997274797,2
34823,682.046,251.260848,176.6798845,1.422124815,0.71101864,35149,210.5659532,0.744877005,0.990725198,0.940694737,0.838037262,0.007215371,0.002195289,0.702306453,0.998767435,2
27459,611.196,231.5531591,151.1926803,1.531510379,0.757400847,27760,186.9809741,0.701863354,0.989157061,0.923705596,0.807507765,0.008432687,0.002211732,0.652068791,0.998650121,2
41928,774.592,295.1548321,181.783815,1.623658476,0.787829759,42445,231.050617,0.796035769,0.987819531,0.878148565,0.782811568,0.007039564,0.001630626,0.612793952,0.994968094,4
231066,1787.859,641.9042752,460.1984968,1.394842181,0.697148261,232903,542.4042484,0.736700143,0.992112596,0.908404716,0.844992422,0.002778013,0.000873625,0.714012194,0.995934326,3
79463,1068.778,412.6149753,246.9726133,1.670691214,0.801081973,80593,318.0808607,0.814170082,0.985978931,0.874177874,0.770890248,0.005192542,0.001131176,0.594271775,0.992844633,5
91010,1196.528,428.4628408,271.0121313,1.580972921,0.774542473,92343,340.4078891,0.699259328,0.985564688,0.79882794,0.794486375,0.004707866,0.001157043,0.6312086,0.997923703,1
71085,1049.342,383.9366687,236.9052898,1.620633584,0.78692973,72146,300.8458626,0.799426451,0.98529371,0.811248151,0.783582,0.005401093,0.001256028,0.61400075,0.995070236,1
67593,992.946,392.317798,222.2408038,1.765282483,0.824074406,68881,293.3633933,0.724376286,0.981301084,0.861510004,0.74776978,0.005804119,0.001119406,0.559159643,0.987074724,5
43726,788.823,306.4328456,182.5712495,1.678428813,0.803136327,44342,235.9526909,0.702154992,0.986107979,0.883060552,0.769998041,0.007008024,0.001519616,0.592896984,0.99513538,4
68988,1015.946,384.3988557,230.8984362,1.664796271,0.799493982,70406,296.375184,0.767300634,0.979859671,0.839928213,0.771009538,0.005571967,0.001214583,0.594455707,0.989647645,5
26264,599.479,221.7402597,151.2012457,1.466524026,0.731459863,26596,182.8670648,0.800682885,0.98751692,0.918380778,0.824690406,0.008442745,0.002408947,0.680114266,0.997403912,2
46515,815.292,298.5064641,199.6252062,1.495334531,0.743490337,47147,243.361331,0.689560602,0.986595117,0.879379886,0.815263186,0.006417424,0.001748766,0.664654063,0.993880171,4
28552,619.107,227.103332,160.1897186,1.417714782,0.708848766,28868,190.6660313,0.751368421,0.989053623,0.936084319,0.839556292,0.007954025,0.00243762,0.704854767,0.999283023,2
57781,958.226,381.7761337,194.1116939,1.966785854,0.861095198,58475,271.2361593,0.659781219,0.98813168,0.790786081,0.710458657,0.006607295,0.001038386,0.504751504,0.992738117,6
33248,660.068,230.9698347,183.4292487,1.259176693,0.607696024,33511,205.7490422,0.787661984,0.992151831,0.958954568,0.890804821,0.006946879,0.002698359,0.793533229,0.999198547,7
47323,824.295,318.0030004,190.3530112,1.670596112,0.801056512,47912,245.4659141,0.813711161,0.987706629,0.87521913,0.771898107,0.00671984,0.001471562,0.595826688,0.995385748,4
39009,729.669,259.6263611,191.582575,1.355166884,0.674892023,39404,222.8627412,0.788554448,0.989975637,0.920710063,0.858397969,0.00665555,0.002229043,0.736847074,0.998550753,4
41966,746.121,273.5086784,195.4491535,1.399385331,0.699533855,42250,231.1552957,0.751997993,0.993278107,0.947303001,0.845147938,0.006517387,0.002051088,0.714275038,0.999546011,2
73720,1050.731,397.3946579,237.5145773,1.673137971,0.801735246,74893,306.3710483,0.777071541,0.984337655,0.839096867,0.770949086,0.005390595,0.001174679,0.594362493,0.994450456,5
43497,774.492,289.2876329,192.0904089,1.505997278,0.747722072,43866,235.334019,0.806097109,0.991588018,0.911245289,0.813494917,0.006650749,0.001796676,0.66177398,0.996629813,4
30132,641.444,235.3682107,164.047866,1.434753261,0.717086723,30578,195.870503,0.769773145,0.98541435,0.92028073,0.832187586,0.007811238,0.002310918,0.692536178,0.99361854,2
26614,598.639,220.4256253,154.085455,1.430541418,0.715086444,26917,184.0814962,0.74674523,0.988743173,0.933232819,0.835118403,0.008282319,0.002484986,0.697422747,0.997692126,2
32858,669.885,247.760391,169.1604879,1.46464694,0.730644215,33196,204.5387615,0.765207266,0.98981805,0.920132738,0.825550689,0.007540337,0.002160456,0.68153394,0.9982066,2
55563,873.756,315.9455,224.7293094,1.40589361,0.702897275,56100,265.9793391,0.711333871,0.990427807,0.914566329,0.841851962,0.005686257,0.00176177,0.708714726,0.996377505,4
73874,1035.476,403.2854111,234.6111253,1.718952631,0.81336794,74671,306.6908837,0.777293771,0.989326512,0.865807621,0.760480978,0.005459098,0.0011263,0.578331317,0.99412414,5
193584,1693.359,637.0427226,390.5938548,1.630959409,0.789977336,197382,496.4663171,0.800595533,0.980758124,0.848362069,0.779329705,0.003290782,0.000748796,0.607354789,0.990571008,3
54608,918.369,375.7502858,185.4111535,2.026578654,0.86977843,55060,263.6836458,0.736651828,0.991790774,0.8136389,0.701752349,0.006880865,0.001029339,0.49245636,0.998001546,6
36651,709.026,260.0872702,179.8251552,1.44633419,0.722469168,37023,216.0219955,0.771973798,0.989952192,0.916160093,0.830575043,0.007096321,0.002083188,0.689854902,0.99776073,4
